"genesysId","instCode","name","aliasType","lang","version"
"2509326","","143","COLLNUMB","","0"
"2509327","","144","OTHERNUMB","","0"
"2509327","","Sardina","ACCENAME","","0"
"2509327","","144","COLLNUMB","","0"
"2509328","","142","OTHERNUMB","","0"
"2509328","","142","COLLNUMB","","0"
"2509329","","141","OTHERNUMB","","0"
"2509329","","La Gremita","ACCENAME","","0"
"2509329","","141","COLLNUMB","","0"
"2509330","","138","OTHERNUMB","","0"
"2509330","","Poco Negro","ACCENAME","","0"
"2509330","","138","COLLNUMB","","0"
"2509331","","139","OTHERNUMB","","0"
"2509331","","139","COLLNUMB","","0"
"2509332","","UCV 2165","OTHERNUMB","","0"
"2509332","","014","COLLNUMB","","0"
"2509333","","136","OTHERNUMB","","0"
"2509333","","136","COLLNUMB","","0"
"2509334","","137","OTHERNUMB","","0"
"2509334","","Palo Blanco","ACCENAME","","0"
"2509334","","137","COLLNUMB","","0"
"2509335","","135","OTHERNUMB","","0"
"2509335","","135","COLLNUMB","","0"
"2509336","","133","OTHERNUMB","","0"
"2509336","","Llanera","ACCENAME","","0"
"2509336","","133","COLLNUMB","","0"
"2509337","","134","OTHERNUMB","","0"
"2509337","","Negrita","ACCENAME","","0"
"2509337","","134","COLLNUMB","","0"
"2509338","","130","OTHERNUMB","","0"
"2509338","","Llanera","ACCENAME","","0"
"2509338","","130","COLLNUMB","","0"
"2509339","","131","OTHERNUMB","","0"
"2509339","","Cogollo Morado","ACCENAME","","0"
"2509339","","131","COLLNUMB","","0"
"2509340","","127","OTHERNUMB","","0"
"2509340","","Tempranita","ACCENAME","","0"
"2509340","","127","COLLNUMB","","0"
"2509341","","128","OTHERNUMB","","0"
"2509341","","Llanera","ACCENAME","","0"
"2509341","","128","COLLNUMB","","0"
"2509342","","012","OTHERNUMB","","0"
"2509342","","012","COLLNUMB","","0"
"2509343","","UCV 2181","OTHERNUMB","","0"
"2509343","","013","COLLNUMB","","0"
"2509344","","126","OTHERNUMB","","0"
"2509344","","Ceibita","ACCENAME","","0"
"2509344","","126","COLLNUMB","","0"
"2509345","","125","OTHERNUMB","","0"
"2509345","","125","COLLNUMB","","0"
"2509346","","121","OTHERNUMB","","0"
"2509346","","Pata De Paloma","ACCENAME","","0"
"2509346","","121","COLLNUMB","","0"
"2509347","","122","OTHERNUMB","","0"
"2509347","","Negra","ACCENAME","","0"
"2509347","","122","COLLNUMB","","0"
"2509348","","118","OTHERNUMB","","0"
"2509348","","118","COLLNUMB","","0"
"2509349","","119","OTHERNUMB","","0"
"2509349","","119","COLLNUMB","","0"
"2509350","","UCV 2140","OTHERNUMB","","0"
"2509350","","110","COLLNUMB","","0"
"2509351","","113","OTHERNUMB","","0"
"2509351","","113","COLLNUMB","","0"
"2509352","","116","OTHERNUMB","","0"
"2509352","","Canaguera","ACCENAME","","0"
"2509352","","116","COLLNUMB","","0"
"2509353","","117","OTHERNUMB","","0"
"2509353","","Lengua D Culebra 2","ACCENAME","","0"
"2509353","","117","COLLNUMB","","0"
"2509354","","UCV 2125","OTHERNUMB","","0"
"2509354","","Pierna Negra","ACCENAME","","0"
"2509354","","011","COLLNUMB","","0"
"2509355","","UCV 2221","OTHERNUMB","","0"
"2509355","","Branca Sta Catarin","ACCENAME","","0"
"2509355","","104","COLLNUMB","","0"
"2509356","","Q 23002","OTHERNUMB","","0"
"2509356","","Gariasa","ACCENAME","","0"
"2509357","","Q 23014","OTHERNUMB","","0"
"2509357","","Hawaiian 4","ACCENAME","","0"
"2509358","","Q 23018","OTHERNUMB","","0"
"2509358","","Indonesia 16","ACCENAME","","0"
"2509359","","Q 23007","OTHERNUMB","","0"
"2509359","","Java Brown","ACCENAME","","0"
"2509360","","UCV 2172","OTHERNUMB","","0"
"2509360","","010","COLLNUMB","","0"
"2509361","","Q 23024","OTHERNUMB","","0"
"2509361","","Balinghay","ACCENAME","","0"
"2509362","","Q 23828","OTHERNUMB","","0"
"2509362","","Iacx352-1-Iac Jaca","ACCENAME","","0"
"2509363","","Q 23022","OTHERNUMB","","0"
"2509363","","Bogor 397","ACCENAME","","0"
"2509364","","Q 23008","OTHERNUMB","","0"
"2509364","","W78 Lakan","ACCENAME","","0"
"2509366","","Q 22718","OTHERNUMB","","0"
"2509366","","Mesculenta Sabaner","ACCENAME","","0"
"2509377","","Hanatee","ACCENAME","","0"
"2509381","","Lakan","ACCENAME","","0"
"2509472","","009","OTHERNUMB","","0"
"2509472","","No. 70","ACCENAME","","0"
"2509472","","009","COLLNUMB","","0"
"2509474","","057","OTHERNUMB","","0"
"2509474","","No.9176","ACCENAME","","0"
"2509474","","057","COLLNUMB","","0"
"2509475","","008","OTHERNUMB","","0"
"2509475","","No.2595","ACCENAME","","0"
"2509475","","008","COLLNUMB","","0"
"2509476","","055","OTHERNUMB","","0"
"2509476","","No.9177","ACCENAME","","0"
"2509476","","055","COLLNUMB","","0"
"2509477","","043","OTHERNUMB","","0"
"2509477","","No.9580","ACCENAME","","0"
"2509477","","043","COLLNUMB","","0"
"2509478","","049","OTHERNUMB","","0"
